PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Par,Lentolan Frisbeegolf,Main,2021-06-03 16:40,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Lentolan Frisbeegolf,Main,2021-06-03 16:40,25,-2,3,3,4,3,3,2,2,3,2,,,,,,,,,,,,,,,
Saikkis,Lentolan Frisbeegolf,Main,2021-06-03 16:40,25,-2,2,3,3,3,3,3,3,2,3,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-06-03 16:40,25,-2,3,2,3,4,3,2,3,3,2,,,,,,,,,,,,,,,
Henkka,Lentolan Frisbeegolf,Main,2021-06-03 16:40,22,-5,2,3,2,2,3,3,2,2,3,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-03 15:58,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Lentolan Frisbeegolf,Main,2021-06-03 15:58,30,3,3,3,3,4,4,4,3,3,3,,,,,,,,,,,,,,,
Emma,Lentolan Frisbeegolf,Main,2021-06-03 15:58,32,5,3,4,4,3,4,3,3,4,4,,,,,,,,,,,,,,,
Saikkis,Lentolan Frisbeegolf,Main,2021-06-03 15:58,28,1,3,2,3,4,4,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-06-03 15:58,26,-1,3,3,2,3,3,2,4,3,3,,,,,,,,,,,,,,,
Henkka,Lentolan Frisbeegolf,Main,2021-06-03 15:58,25,-2,2,3,3,3,3,3,3,3,2,,,,,,,,,,,,,,,
Par,Siltamäki,Updated,2021-06-01 19:51,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Kimmo,Siltamäki,Updated,2021-06-01 19:51,56,3,3,3,3,3,2,3,3,4,4,3,3,4,3,3,3,4,3,2,,,,,,
Ile,Siltamäki,Updated,2021-06-01 19:51,65,12,4,4,3,4,3,3,3,4,4,5,3,4,4,3,3,6,3,2,,,,,,
Jouni,Siltamäki,Updated,2021-06-01 19:51,50,-3,3,3,2,3,3,2,2,3,4,3,3,3,3,3,2,3,3,2,,,,,,
Par,Pohjolan Rinteen Puisto,Main,2021-05-28 13:59,15,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
Kimmo,Pohjolan Rinteen Puisto,Main,2021-05-28 13:59,15,0,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
Saikkis,Pohjolan Rinteen Puisto,Main,2021-05-28 13:59,14,-1,3,3,3,3,2,,,,,,,,,,,,,,,,,,,
Henkka,Pohjolan Rinteen Puisto,Main,2021-05-28 13:59,15,0,2,3,3,4,3,,,,,,,,,,,,,,,,,,,
Par,Paloaseman Puisto DiscGolfPark,2018,2021-05-28 13:25,15,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
Kimmo,Paloaseman Puisto DiscGolfPark,2018,2021-05-28 13:25,17,2,3,4,4,3,3,,,,,,,,,,,,,,,,,,,
Saikkis,Paloaseman Puisto DiscGolfPark,2018,2021-05-28 13:25,16,1,2,4,3,4,3,,,,,,,,,,,,,,,,,,,
Henkka,Paloaseman Puisto DiscGolfPark,2018,2021-05-28 13:25,16,1,4,3,3,3,3,,,,,,,,,,,,,,,,,,,
Par,Riutta DiscGolfPark,19 väylää (2020),2021-05-28 11:15,61,,3,4,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,,,,,
Kimmo,Riutta DiscGolfPark,19 väylää (2020),2021-05-28 11:15,82,21,5,6,3,4,3,4,3,4,5,5,4,3,8,5,5,4,3,3,5,,,,,
Saikkis,Riutta DiscGolfPark,19 väylää (2020),2021-05-28 11:15,76,15,3,5,4,4,4,3,5,3,6,3,3,3,6,5,6,4,3,3,3,,,,,
Henkka,Riutta DiscGolfPark,19 väylää (2020),2021-05-28 11:15,72,11,3,5,4,4,4,3,3,4,4,5,3,4,5,4,5,4,3,2,3,,,,,
Par,Kartanonkoski MultiGolfPark,Main,2021-05-27 20:24,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Kartanonkoski MultiGolfPark,Main,2021-05-27 20:24,25,-2,2,3,3,3,2,3,3,3,3,,,,,,,,,,,,,,,
Emma,Kartanonkoski MultiGolfPark,Main,2021-05-27 20:24,25,-2,3,3,3,2,3,3,3,2,3,,,,,,,,,,,,,,,
Saikkis,Kartanonkoski MultiGolfPark,Main,2021-05-27 20:24,24,-3,3,3,3,3,2,2,2,2,4,,,,,,,,,,,,,,,
Par,Puolarmaari,Standard,2021-05-25 14:33,60,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,
Kimmo,Puolarmaari,Standard,2021-05-25 14:33,74,14,5,4,4,3,4,5,4,4,3,2,2,4,5,3,3,6,3,2,4,4,,,,
