PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Henkka,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 20:39,26,-1,3,3,2,3,3,3,2,3,4,,,,,,,,,,,,,,,
Saikkis,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 20:39,27,0,2,3,3,4,3,2,3,3,4,,,,,,,,,,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 19:59,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 19:59,26,-1,3,3,2,3,2,3,3,3,4,,,,,,,,,,,,,,,
Henkka,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 19:59,23,-4,2,3,3,3,2,3,2,3,2,,,,,,,,,,,,,,,
Saikkis,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Camping,2021-07-13 19:59,23,-4,2,2,3,3,2,3,3,3,2,,,,,,,,,,,,,,,
Par,Ford Amateur DiscGolfPark (A1),Main,2021-07-12 18:56,56,,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,,,,,,
Jouni,Ford Amateur DiscGolfPark (A1),Main,2021-07-12 18:56,55,-1,2,4,3,3,3,5,3,4,2,2,3,4,4,3,2,2,3,3,,,,,,
Henkka,Ford Amateur DiscGolfPark (A1),Main,2021-07-12 18:56,57,1,4,4,3,2,3,4,3,2,2,3,3,2,5,6,2,3,4,2,,,,,,
Saikkis,Ford Amateur DiscGolfPark (A1),Main,2021-07-12 18:56,59,3,3,3,3,4,2,4,4,4,4,4,3,3,4,3,2,3,3,3,,,,,,
Par,Karkkilan Frisbeegolfrata,Gold (2021),2021-07-07 19:46,63,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,,,,
Jouni,Karkkilan Frisbeegolfrata,Gold (2021),2021-07-07 19:46,74,11,5,4,3,4,3,4,4,3,4,4,3,4,2,5,3,5,5,3,3,3,,,,
Par,Karkkilan Frisbeegolfrata,Red (2021) (uusi Am),2021-07-07 17:57,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,3,3,3,,,,
Jouni,Karkkilan Frisbeegolfrata,Red (2021) (uusi Am),2021-07-07 17:57,65,2,3,3,3,3,2,3,5,3,3,2,4,3,3,3,3,5,5,3,3,3,,,,
Par,Lentolan Frisbeegolf,Main,2021-07-05 21:12,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Teemu,Lentolan Frisbeegolf,Main,2021-07-05 21:12,29,2,3,3,4,3,3,3,3,3,4,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-07-05 21:12,24,-3,2,3,2,3,3,3,3,3,2,,,,,,,,,,,,,,,
Kari,Lentolan Frisbeegolf,Main,2021-07-05 21:12,26,-1,3,3,3,3,3,2,2,3,4,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-07-05 20:14,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Teemu,Lentolan Frisbeegolf,Main,2021-07-05 20:14,29,2,3,3,5,3,3,2,3,4,3,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-07-05 20:14,25,-2,3,3,2,3,3,2,3,3,3,,,,,,,,,,,,,,,
Kari,Lentolan Frisbeegolf,Main,2021-07-05 20:14,28,1,3,3,4,3,4,3,3,3,2,,,,,,,,,,,,,,,
Ile,Lentolan Frisbeegolf,Main,2021-07-05 20:14,29,2,3,3,3,4,3,3,3,3,4,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-07-05 19:23,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Teemu,Lentolan Frisbeegolf,Main,2021-07-05 19:23,28,1,3,3,3,4,4,2,2,4,3,,,,,,,,,,,,,,,
Kimmo,Lentolan Frisbeegolf,Main,2021-07-05 19:23,28,1,3,2,4,4,3,3,2,3,4,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-07-05 19:23,25,-2,3,2,3,2,4,3,3,2,3,,,,,,,,,,,,,,,
Kari,Lentolan Frisbeegolf,Main,2021-07-05 19:23,27,0,3,5,3,3,3,2,2,3,3,,,,,,,,,,,,,,,
Ile,Lentolan Frisbeegolf,Main,2021-07-05 19:23,29,2,3,4,3,4,3,2,3,3,4,,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-07-01 22:59,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Malminiitty,Niitty,2021-07-01 22:59,24,-3,2,3,2,3,3,2,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-07-01 22:59,25,-2,3,2,3,2,2,3,3,3,4,,,,,,,,,,,,,,,
Teemu,Malminiitty,Niitty,2021-07-01 22:59,30,3,2,2,4,3,2,4,5,4,4,,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-07-01 22:08,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Teemu,Malminiitty,Niitty,2021-07-01 22:08,27,0,3,3,3,2,3,3,4,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-07-01 22:08,26,-1,2,3,2,2,3,4,3,3,4,,,,,,,,,,,,,,,
Sampo,Malminiitty,Niitty,2021-07-01 22:08,29,2,3,4,5,2,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Malminiitty,Niitty,2021-07-01 22:08,23,-4,2,2,2,2,3,3,4,3,2,,,,,,,,,,,,,,,
