PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20
Par,Malminiitty,Vakio layout,2019-08-16 19:56,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2019-08-16 19:56,32,5,2,3,3,3,6,3,4,4,4,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2019-08-16 19:56,35,8,3,3,4,4,4,4,5,4,4,,,,,,,,,,,
Jouni,Malminiitty,Vakio layout,2019-08-16 19:56,24,-3,3,3,2,2,3,3,3,3,2,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2019-08-16 19:56,25,-2,3,3,3,2,3,2,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2019-08-16 19:56,29,2,2,3,4,2,3,3,4,3,5,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2019-08-16 19:56,23,-4,2,2,2,2,3,3,3,3,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2019-08-16 22:11,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2019-08-16 22:11,28,1,3,3,4,3,3,3,4,2,3,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2019-08-16 22:11,36,9,4,4,5,4,4,4,4,3,4,,,,,,,,,,,
Jouni,Malminiitty,Vakio layout,2019-08-16 22:11,23,-4,2,3,2,3,2,3,3,3,2,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2019-08-16 22:11,28,1,3,3,3,3,4,4,3,2,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2019-08-16 22:11,24,-3,2,2,2,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2019-08-16 22:11,30,3,3,3,4,3,3,3,4,4,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-03-27 17:41,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-03-27 17:41,29,2,4,3,3,3,3,3,4,3,3,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-03-27 17:41,34,7,3,3,4,3,4,4,5,4,4,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2020-03-27 17:41,27,0,3,3,3,2,3,3,4,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-03-27 17:41,24,-3,3,2,2,3,3,3,3,2,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-03-27 17:41,30,3,3,2,3,4,2,5,3,5,3,,,,,,,,,,,
Saku,Malminiitty,Vakio layout,2020-03-27 17:41,31,4,3,3,4,3,3,3,4,3,5,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-03-27 18:37,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-03-27 18:37,35,8,4,3,4,3,4,4,5,3,5,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-03-27 18:37,37,10,4,3,3,3,5,4,5,6,4,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2020-03-27 18:37,28,1,4,3,4,3,2,3,3,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-03-27 18:37,25,-2,3,3,2,2,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-03-27 18:37,30,3,2,3,4,3,3,6,3,3,3,,,,,,,,,,,
Saku,Malminiitty,Vakio layout,2020-03-27 18:37,28,1,3,3,3,2,3,4,3,4,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-04-24 17:06,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-04-24 17:06,28,1,2,2,3,5,2,3,4,4,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-04-24 17:06,37,10,4,2,5,4,4,6,3,5,4,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-04-24 17:06,29,2,2,3,3,3,3,4,3,3,5,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-04-24 17:59,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-04-24 17:59,33,6,3,3,3,4,7,3,3,4,3,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-04-24 17:59,29,2,3,3,3,2,4,4,4,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-04-24 17:59,29,2,2,3,3,4,3,5,3,3,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-04-24 18:51,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-04-24 18:51,39,12,3,3,4,3,4,7,5,7,3,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-04-24 18:51,29,2,3,3,3,3,4,4,3,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-04-24 18:51,27,0,3,2,3,2,3,3,4,3,4,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-04-24 19:33,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-04-24 19:33,29,2,3,3,4,2,3,5,3,3,3,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-04-24 19:33,32,5,4,3,3,4,5,3,4,3,3,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2020-04-24 19:33,25,-2,2,3,4,2,3,3,3,2,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-04-24 19:33,26,-1,3,3,2,2,3,3,4,2,4,,,,,,,,,,,
